"12ag -- Kuolleet iän (1-v.) ja sukupuolen mukaan, 1980-2020"

"Sukupuoli";"Ikä";"Tiedot";"2020"
"Miehet";"0";"Kuolleet";49
"Miehet";"1";"Kuolleet";5
"Miehet";"2";"Kuolleet";2
"Miehet";"3";"Kuolleet";3
"Miehet";"4";"Kuolleet";5
"Miehet";"5";"Kuolleet";0
"Miehet";"6";"Kuolleet";3
"Miehet";"7";"Kuolleet";2
"Miehet";"8";"Kuolleet";0
"Miehet";"9";"Kuolleet";4
"Miehet";"10";"Kuolleet";1
"Miehet";"11";"Kuolleet";0
"Miehet";"12";"Kuolleet";4
"Miehet";"13";"Kuolleet";2
"Miehet";"14";"Kuolleet";6
"Miehet";"15";"Kuolleet";6
"Miehet";"16";"Kuolleet";7
"Miehet";"17";"Kuolleet";22
"Miehet";"18";"Kuolleet";30
"Miehet";"19";"Kuolleet";18
"Miehet";"20";"Kuolleet";31
"Miehet";"21";"Kuolleet";21
"Miehet";"22";"Kuolleet";29
"Miehet";"23";"Kuolleet";31
"Miehet";"24";"Kuolleet";27
"Miehet";"25";"Kuolleet";36
"Miehet";"26";"Kuolleet";37
"Miehet";"27";"Kuolleet";34
"Miehet";"28";"Kuolleet";34
"Miehet";"29";"Kuolleet";28
"Miehet";"30";"Kuolleet";23
"Miehet";"31";"Kuolleet";31
"Miehet";"32";"Kuolleet";35
"Miehet";"33";"Kuolleet";43
"Miehet";"34";"Kuolleet";32
"Miehet";"35";"Kuolleet";42
"Miehet";"36";"Kuolleet";42
"Miehet";"37";"Kuolleet";46
"Miehet";"38";"Kuolleet";40
"Miehet";"39";"Kuolleet";50
"Miehet";"40";"Kuolleet";53
"Miehet";"41";"Kuolleet";68
"Miehet";"42";"Kuolleet";66
"Miehet";"43";"Kuolleet";72
"Miehet";"44";"Kuolleet";73
"Miehet";"45";"Kuolleet";68
"Miehet";"46";"Kuolleet";81
"Miehet";"47";"Kuolleet";93
"Miehet";"48";"Kuolleet";95
"Miehet";"49";"Kuolleet";94
"Miehet";"50";"Kuolleet";111
"Miehet";"51";"Kuolleet";130
"Miehet";"52";"Kuolleet";132
"Miehet";"53";"Kuolleet";145
"Miehet";"54";"Kuolleet";188
"Miehet";"55";"Kuolleet";184
"Miehet";"56";"Kuolleet";226
"Miehet";"57";"Kuolleet";236
"Miehet";"58";"Kuolleet";239
"Miehet";"59";"Kuolleet";276
"Miehet";"60";"Kuolleet";314
"Miehet";"61";"Kuolleet";291
"Miehet";"62";"Kuolleet";388
"Miehet";"63";"Kuolleet";414
"Miehet";"64";"Kuolleet";441
"Miehet";"65";"Kuolleet";425
"Miehet";"66";"Kuolleet";474
"Miehet";"67";"Kuolleet";543
"Miehet";"68";"Kuolleet";570
"Miehet";"69";"Kuolleet";589
"Miehet";"70";"Kuolleet";702
"Miehet";"71";"Kuolleet";762
"Miehet";"72";"Kuolleet";787
"Miehet";"73";"Kuolleet";851
"Miehet";"74";"Kuolleet";923
"Miehet";"75";"Kuolleet";772
"Miehet";"76";"Kuolleet";748
"Miehet";"77";"Kuolleet";644
"Miehet";"78";"Kuolleet";757
"Miehet";"79";"Kuolleet";777
"Miehet";"80";"Kuolleet";918
"Miehet";"81";"Kuolleet";948
"Miehet";"82";"Kuolleet";967
"Miehet";"83";"Kuolleet";862
"Miehet";"84";"Kuolleet";912
"Miehet";"85";"Kuolleet";894
"Miehet";"86";"Kuolleet";828
"Miehet";"87";"Kuolleet";846
"Miehet";"88";"Kuolleet";835
"Miehet";"89";"Kuolleet";786
"Miehet";"90";"Kuolleet";728
"Miehet";"91";"Kuolleet";641
"Miehet";"92";"Kuolleet";531
"Miehet";"93";"Kuolleet";445
"Miehet";"94";"Kuolleet";353
"Miehet";"95";"Kuolleet";254
"Miehet";"96";"Kuolleet";229
"Miehet";"97";"Kuolleet";112
"Miehet";"98";"Kuolleet";80
"Miehet";"99";"Kuolleet";50
"Miehet";"100";"Kuolleet";38
"Miehet";"101";"Kuolleet";17
"Miehet";"102";"Kuolleet";9
"Miehet";"103";"Kuolleet";9
"Miehet";"104";"Kuolleet";5
"Miehet";"105";"Kuolleet";3
"Miehet";"106";"Kuolleet";1
"Miehet";"107";"Kuolleet";0
"Miehet";"108";"Kuolleet";1
"Miehet";"109";"Kuolleet";0
"Miehet";"110";"Kuolleet";0
"Miehet";"111";"Kuolleet";0
"Miehet";"112";"Kuolleet";0
"Naiset";"0";"Kuolleet";34
"Naiset";"1";"Kuolleet";0
"Naiset";"2";"Kuolleet";4
"Naiset";"3";"Kuolleet";3
"Naiset";"4";"Kuolleet";1
"Naiset";"5";"Kuolleet";1
"Naiset";"6";"Kuolleet";0
"Naiset";"7";"Kuolleet";2
"Naiset";"8";"Kuolleet";0
"Naiset";"9";"Kuolleet";0
"Naiset";"10";"Kuolleet";2
"Naiset";"11";"Kuolleet";3
"Naiset";"12";"Kuolleet";1
"Naiset";"13";"Kuolleet";4
"Naiset";"14";"Kuolleet";1
"Naiset";"15";"Kuolleet";5
"Naiset";"16";"Kuolleet";8
"Naiset";"17";"Kuolleet";9
"Naiset";"18";"Kuolleet";12
"Naiset";"19";"Kuolleet";2
"Naiset";"20";"Kuolleet";5
"Naiset";"21";"Kuolleet";9
"Naiset";"22";"Kuolleet";17
"Naiset";"23";"Kuolleet";7
"Naiset";"24";"Kuolleet";8
"Naiset";"25";"Kuolleet";10
"Naiset";"26";"Kuolleet";16
"Naiset";"27";"Kuolleet";12
"Naiset";"28";"Kuolleet";9
"Naiset";"29";"Kuolleet";11
"Naiset";"30";"Kuolleet";13
"Naiset";"31";"Kuolleet";13
"Naiset";"32";"Kuolleet";17
"Naiset";"33";"Kuolleet";12
"Naiset";"34";"Kuolleet";17
"Naiset";"35";"Kuolleet";19
"Naiset";"36";"Kuolleet";16
"Naiset";"37";"Kuolleet";20
"Naiset";"38";"Kuolleet";17
"Naiset";"39";"Kuolleet";18
"Naiset";"40";"Kuolleet";17
"Naiset";"41";"Kuolleet";20
"Naiset";"42";"Kuolleet";33
"Naiset";"43";"Kuolleet";22
"Naiset";"44";"Kuolleet";34
"Naiset";"45";"Kuolleet";30
"Naiset";"46";"Kuolleet";41
"Naiset";"47";"Kuolleet";28
"Naiset";"48";"Kuolleet";41
"Naiset";"49";"Kuolleet";49
"Naiset";"50";"Kuolleet";45
"Naiset";"51";"Kuolleet";52
"Naiset";"52";"Kuolleet";63
"Naiset";"53";"Kuolleet";73
"Naiset";"54";"Kuolleet";82
"Naiset";"55";"Kuolleet";102
"Naiset";"56";"Kuolleet";90
"Naiset";"57";"Kuolleet";114
"Naiset";"58";"Kuolleet";105
"Naiset";"59";"Kuolleet";153
"Naiset";"60";"Kuolleet";134
"Naiset";"61";"Kuolleet";169
"Naiset";"62";"Kuolleet";152
"Naiset";"63";"Kuolleet";187
"Naiset";"64";"Kuolleet";216
"Naiset";"65";"Kuolleet";237
"Naiset";"66";"Kuolleet";255
"Naiset";"67";"Kuolleet";285
"Naiset";"68";"Kuolleet";341
"Naiset";"69";"Kuolleet";366
"Naiset";"70";"Kuolleet";394
"Naiset";"71";"Kuolleet";423
"Naiset";"72";"Kuolleet";498
"Naiset";"73";"Kuolleet";520
"Naiset";"74";"Kuolleet";623
"Naiset";"75";"Kuolleet";455
"Naiset";"76";"Kuolleet";485
"Naiset";"77";"Kuolleet";502
"Naiset";"78";"Kuolleet";599
"Naiset";"79";"Kuolleet";660
"Naiset";"80";"Kuolleet";699
"Naiset";"81";"Kuolleet";813
"Naiset";"82";"Kuolleet";865
"Naiset";"83";"Kuolleet";879
"Naiset";"84";"Kuolleet";991
"Naiset";"85";"Kuolleet";1059
"Naiset";"86";"Kuolleet";1038
"Naiset";"87";"Kuolleet";1122
"Naiset";"88";"Kuolleet";1241
"Naiset";"89";"Kuolleet";1222
"Naiset";"90";"Kuolleet";1298
"Naiset";"91";"Kuolleet";1298
"Naiset";"92";"Kuolleet";1081
"Naiset";"93";"Kuolleet";1017
"Naiset";"94";"Kuolleet";915
"Naiset";"95";"Kuolleet";811
"Naiset";"96";"Kuolleet";644
"Naiset";"97";"Kuolleet";504
"Naiset";"98";"Kuolleet";353
"Naiset";"99";"Kuolleet";251
"Naiset";"100";"Kuolleet";146
"Naiset";"101";"Kuolleet";82
"Naiset";"102";"Kuolleet";59
"Naiset";"103";"Kuolleet";36
"Naiset";"104";"Kuolleet";25
"Naiset";"105";"Kuolleet";9
"Naiset";"106";"Kuolleet";5
"Naiset";"107";"Kuolleet";3
"Naiset";"108";"Kuolleet";1
"Naiset";"109";"Kuolleet";2
"Naiset";"110";"Kuolleet";1
"Naiset";"111";"Kuolleet";0
"Naiset";"112";"Kuolleet";0
